neighbourhood_group,neighbourhood
Wijk 01 Oostduinen,Oostduinen
Wijk 02 Belgisch Park,Belgisch Park
Wijk 03 Westbroekpark en Duttendel,Duttendel
Wijk 03 Westbroekpark en Duttendel,Westbroekpark
Wijk 04 Benoordenhout,Arendsdorp
Wijk 04 Benoordenhout,Duinzigt
Wijk 04 Benoordenhout,Nassaubuurt
Wijk 04 Benoordenhout,Uilennest
Wijk 04 Benoordenhout,Van Hoytemastraat en omgeving
Wijk 04 Benoordenhout,Waalsdorp
Wijk 05 Archipelbuurt,Archipelbuurt
Wijk 06 Van Stolkpark en Scheveningse Bosjes,Van Stolkpark en Scheveningse Bosjes
Wijk 07 Scheveningen,Oud Scheveningen
Wijk 07 Scheveningen,Rijslag
Wijk 07 Scheveningen,Scheveningen Badplaats
Wijk 07 Scheveningen,Visserijbuurt
Wijk 07 Scheveningen,Vissershaven
Wijk 08 Duindorp,Duindorp
Wijk 09 Geuzen- en Statenkwartier,Geuzenkwartier
Wijk 09 Geuzen- en Statenkwartier,Statenkwartier
Wijk 10 Zorgvliet,Zorgvliet
Wijk 11 Duinoord,Stadhoudersplantsoen
Wijk 11 Duinoord,Sweelinckplein en omgeving
Wijk 12 Bomen- en Bloemenbuurt,Bloemenbuurt-Oost
Wijk 12 Bomen- en Bloemenbuurt,Bloemenbuurt-West
Wijk 12 Bomen- en Bloemenbuurt,Bomenbuurt
Wijk 13 Vogelwijk,Vogelwijk
Wijk 14 Bohemen en Meer en Bos,Bohemen en Meer en Bos
Wijk 14 Bohemen en Meer en Bos,Bosjes van Pex
Wijk 15 Kijkduin en Ockenburgh,Kijkduin
Wijk 15 Kijkduin en Ockenburgh,Ockenburgh
Wijk 16 Kraayenstein en Vroondaal,Kraayenstein en Vroondaal
Wijk 17 Loosduinen,Houtwijk
Wijk 17 Loosduinen,Kerketuinen en Zichtenburg
Wijk 17 Loosduinen,Kom Loosduinen
Wijk 18 Waldeck,Componistenbuurt
Wijk 18 Waldeck,Nieuw Waldeck
Wijk 18 Waldeck,Rosenburg
Wijk 18 Waldeck,Waldeck-Noord
Wijk 18 Waldeck,Waldeck-Zuid
Wijk 19 Vruchtenbuurt,Eykenduinen
Wijk 19 Vruchtenbuurt,Vruchtenbuurt
Wijk 20 Valkenboskwartier,Heesterbuurt
Wijk 20 Valkenboskwartier,Valkenboskwartier
Wijk 21 Regentessekwartier,Koningsplein en omgeving
Wijk 21 Regentessekwartier,Rond de Energiecentrale
Wijk 22 Zeeheldenkwartier,Zeeheldenkwartier
Wijk 23 Willemspark,Willemspark
Wijk 24 Haagse Bos,Haagse Bos
Wijk 25 Mariahoeve en Marlot,Burgen en Horsten
